
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000636                       # Number of seconds simulated (Second)
simTicks                                    636401000                       # Number of ticks simulated (Tick)
finalTick                                   636401000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     36.85                       # Real time elapsed on the host (Second)
hostTickRate                                 17269314                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4351436                       # Number of bytes of host memory used (Byte)
simInsts                                       323553                       # Number of instructions simulated (Count)
simOps                                         323553                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                     8779                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                       8779                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           636402                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.966917                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.508410                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          350572                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       21                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         348072                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     32                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                27039                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             16739                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              604891                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.575429                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.198089                       # Number of insts issued each cycle (Count)
system.cpu.icache.demandMshrMissRate::cpu.inst     0.000029                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.demandMshrMissRate::total     0.000029                       # mshr miss ratio for demand accesses (Ratio)
system.cpu.icache.overallMshrMissRate::cpu.inst     0.000029                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.overallMshrMissRate::total     0.000029                       # mshr miss ratio for overall accesses (Ratio)
system.cpu.icache.demandAvgMshrMissLatency::cpu.inst 87563.859813                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.demandAvgMshrMissLatency::total 87563.859813                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::cpu.inst 87563.859813                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.overallAvgMshrMissLatency::total 87563.859813                       # average overall mshr miss latency ((Tick/Count))
system.cpu.icache.replacements                    269                       # number of replacements (Count)
system.cpu.icache.ReadReq.hits::cpu.inst     10996908                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.hits::total        10996908                       # number of ReadReq hits (Count)
system.cpu.icache.ReadReq.misses::cpu.inst          429                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.misses::total           429                       # number of ReadReq misses (Count)
system.cpu.icache.ReadReq.missLatency::cpu.inst     36431999                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.missLatency::total     36431999                       # number of ReadReq miss ticks (Tick)
system.cpu.icache.ReadReq.accesses::cpu.inst     10997337                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.accesses::total     10997337                       # number of ReadReq accesses(hits+misses) (Count)
system.cpu.icache.ReadReq.missRate::cpu.inst     0.000039                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.missRate::total     0.000039                       # miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMissLatency::cpu.inst 84923.074592                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMissLatency::total 84923.074592                       # average ReadReq miss latency ((Tick/Count))
system.cpu.icache.ReadReq.mshrHits::cpu.inst          108                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrHits::total          108                       # number of ReadReq MSHR hits (Count)
system.cpu.icache.ReadReq.mshrMisses::cpu.inst          321                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMisses::total          321                       # number of ReadReq MSHR misses (Count)
system.cpu.icache.ReadReq.mshrMissLatency::cpu.inst     28107999                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissLatency::total     28107999                       # number of ReadReq MSHR miss ticks (Tick)
system.cpu.icache.ReadReq.mshrMissRate::cpu.inst     0.000029                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.mshrMissRate::total     0.000029                       # mshr miss rate for ReadReq accesses (Ratio)
system.cpu.icache.ReadReq.avgMshrMissLatency::cpu.inst 87563.859813                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.ReadReq.avgMshrMissLatency::total 87563.859813                       # average ReadReq mshr miss latency ((Tick/Count))
system.cpu.icache.power_state.pwrStateResidencyTicks::UNDEFINED  33950426000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.icache.tags.tagsInUse           464.867771                       # Average ticks per tags in use ((Tick/Count))
system.cpu.icache.tags.totalRefs             11150486                       # Total number of references to valid blocks. (Count)
system.cpu.icache.tags.sampledRefs                774                       # Sample count of references to valid blocks. (Count)
system.cpu.icache.tags.avgRefs           14406.312661                       # Average number of references to valid blocks. ((Count/Count))
system.cpu.icache.tags.warmupTick                   0                       # The tick when the warmup percentage was hit. (Tick)
system.cpu.icache.tags.occupancies::cpu.inst   464.867771                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu.icache.tags.avgOccs::cpu.inst     0.907945                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.icache.tags.avgOccs::total        0.907945                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu.icache.tags.occupanciesTaskId::1024          505                       # Occupied blocks per task id (Count)
system.cpu.icache.tags.ageTaskId_1024::0           18                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ageTaskId_1024::1          207                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ageTaskId_1024::4          280                       # Occupied blocks per task id, per block age (Count)
system.cpu.icache.tags.ratioOccsTaskId::1024     0.986328                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu.icache.tags.tagAccesses           43989669                       # Number of tag accesses (Count)
system.cpu.icache.tags.dataAccesses          43989669                       # Number of data accesses (Count)
system.cpu.icache.tags.power_state.pwrStateResidencyTicks::UNDEFINED  33950426000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.iew.idleCycles                           0                       # Number of cycles IEW is idle (Cycle)
system.cpu.iew.squashCycles                     45746                       # Number of cycles IEW is squashing (Cycle)
system.cpu.iew.blockCycles                      41712                       # Number of cycles IEW is blocking (Cycle)
system.cpu.iew.unblockCycles                  6370296                       # Number of cycles IEW is unblocking (Cycle)
system.cpu.iew.dispatchedInsts               37016576                       # Number of instructions dispatched to IQ (Count)
system.cpu.iew.dispSquashedInsts               229343                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu.iew.dispLoadInsts                 10456716                       # Number of dispatched load instructions (Count)
system.cpu.iew.dispStoreInsts                  146540                       # Number of dispatched store instructions (Count)
system.cpu.iew.dispNonSpecInsts                   104                       # Number of dispatched non-speculative instructions (Count)
system.cpu.iew.iqFullEvents                       145                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu.iew.lsqFullEvents                  6370105                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu.iew.memOrderViolationEvents            115                       # Number of memory order violations (Count)
system.cpu.iew.predictedTakenIncorrect          42311                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu.iew.predictedNotTakenIncorrect         3552                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu.iew.branchMispredicts                45863                       # Number of branch mispredicts detected at execute (Count)
system.cpu.iew.instsToCommit                 36921593                       # Cumulative count of insts sent to commit (Count)
system.cpu.iew.writebackCount                36920418                       # Cumulative count of insts written-back (Count)
system.cpu.iew.producerInst                  24804488                       # Number of instructions producing a value (Count)
system.cpu.iew.consumerInst                  31291209                       # Number of instructions consuming a value (Count)
system.cpu.iew.wbRate                        1.087480                       # Insts written-back per cycle ((Count/Cycle))
system.cpu.iew.wbFanout                      0.792698                       # Average fanout of values written-back ((Count/Count))
system.cpu.lsq0.forwLoads                        9797                       # Number of loads that had data forwarded from stores (Count)
system.cpu.lsq0.squashedLoads                   93822                       # Number of loads squashed (Count)
system.cpu.lsq0.ignoredResponses                   45                       # Number of memory responses ignored because the instruction is squashed (Count)
system.cpu.lsq0.memOrderViolation                 115                       # Number of memory ordering violations (Count)
system.cpu.lsq0.squashedStores                  19567                       # Number of stores squashed (Count)
system.cpu.lsq0.rescheduledLoads                   33                       # Number of loads that were rescheduled (Count)
system.cpu.lsq0.blockedByCache                     31                       # Number of times an access to memory failed due to the cache being blocked (Count)
system.cpu.lsq0.loadToUse::samples           10362894                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::mean             32.614546                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::stdev            39.312941                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::0-9                5311647     51.26%     51.26% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::10-19                  681      0.01%     51.26% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::20-29               513860      4.96%     56.22% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::30-39               541142      5.22%     61.44% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::40-49               699622      6.75%     68.19% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::50-59               550983      5.32%     73.51% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::60-69               693711      6.69%     80.21% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::70-79               913505      8.82%     89.02% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::80-89               640396      6.18%     95.20% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::90-99               368716      3.56%     98.76% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::100-109              37400      0.36%     99.12% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::110-119              18958      0.18%     99.30% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::120-129                278      0.00%     99.31% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::130-139                378      0.00%     99.31% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::140-149                480      0.00%     99.31% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::150-159                562      0.01%     99.32% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::160-169                521      0.01%     99.32% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::170-179                487      0.00%     99.33% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::180-189                448      0.00%     99.33% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::190-199                387      0.00%     99.34% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::200-209                315      0.00%     99.34% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::210-219                230      0.00%     99.34% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::220-229                320      0.00%     99.35% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::230-239                437      0.00%     99.35% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::240-249                748      0.01%     99.36% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::250-259               2098      0.02%     99.38% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::260-269               4119      0.04%     99.42% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::270-279               7366      0.07%     99.49% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::280-289               8995      0.09%     99.57% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::290-299               9026      0.09%     99.66% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::overflows            35078      0.34%    100.00% # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::min_value                2                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::max_value              468                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.lsq0.loadToUse::total             10362894                       # Distribution of cycle latency between the first time a load is issued and its completion (Unspecified)
system.cpu.mmu.dtb.readHits                         0                       # read hits (Count)
system.cpu.mmu.dtb.readMisses                       0                       # read misses (Count)
system.cpu.mmu.dtb.readAccesses                     0                       # read accesses (Count)
system.cpu.mmu.dtb.writeHits                        0                       # write hits (Count)
system.cpu.mmu.dtb.writeMisses                      0                       # write misses (Count)
system.cpu.mmu.dtb.writeAccesses                    0                       # write accesses (Count)
system.cpu.mmu.dtb.hits                             0                       # Total TLB (read and write) hits (Count)
system.cpu.mmu.dtb.misses                           0                       # Total TLB (read and write) misses (Count)
system.cpu.mmu.dtb.accesses                         0                       # Total TLB (read and write) accesses (Count)
system.cpu.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED  33950426000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.mmu.itb.readHits                         0                       # read hits (Count)
system.cpu.mmu.itb.readMisses                       0                       # read misses (Count)
system.cpu.mmu.itb.readAccesses                     0                       # read accesses (Count)
system.cpu.mmu.itb.writeHits                        0                       # write hits (Count)
system.cpu.mmu.itb.writeMisses                      0                       # write misses (Count)
system.cpu.mmu.itb.writeAccesses                    0                       # write accesses (Count)
system.cpu.mmu.itb.hits                             0                       # Total TLB (read and write) hits (Count)
system.cpu.mmu.itb.misses                           0                       # Total TLB (read and write) misses (Count)
system.cpu.mmu.itb.accesses                         0                       # Total TLB (read and write) accesses (Count)
system.cpu.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED  33950426000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.power_state.pwrStateResidencyTicks::ON  33950426000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu.rename.squashCycles                  45746                       # Number of cycles rename is squashing (Cycle)
system.cpu.rename.idleCycles                  3843249                       # Number of cycles rename is idle (Cycle)
system.cpu.rename.blockCycles                 6429251                       # Number of cycles rename is blocking (Cycle)
system.cpu.rename.serializeStallCycles           1909                       # count of cycles rename stalled for serializing inst (Cycle)
system.cpu.rename.runCycles                   3929869                       # Number of cycles rename is running (Cycle)
system.cpu.rename.unblockCycles              19688051                       # Number of cycles rename is unblocking (Cycle)
system.cpu.rename.renamedInsts               37271914                       # Number of instructions processed by rename (Count)
system.cpu.rename.ROBFullEvents                  3346                       # Number of times rename has blocked due to ROB full (Count)
system.cpu.rename.IQFullEvents                  10630                       # Number of times rename has blocked due to IQ full (Count)
system.cpu.rename.LQFullEvents               19318214                       # Number of times rename has blocked due to LQ full (Count)
system.cpu.rename.SQFullEvents                   2848                       # Number of times rename has blocked due to SQ full (Count)
system.cpu.rename.renamedOperands            31713628                       # Number of destination operands rename has renamed (Count)
system.cpu.rename.lookups                    58494749                       # Number of register rename lookups that rename has made (Count)
system.cpu.rename.intLookups                 32288289                       # Number of integer rename lookups (Count)
system.cpu.rename.fpLookups                  26061523                       # Number of floating rename lookups (Count)
system.cpu.rename.committedMaps              31269595                       # Number of HB maps that are committed (Count)
system.cpu.rename.undoneMaps                   444033                       # Number of HB maps that are undone due to squashing (Count)
system.cpu.rename.serializing                     107                       # count of serializing insts renamed (Count)
system.cpu.rename.tempSerializing                 109                       # count of temporary serializing insts renamed (Count)
system.cpu.rename.skidInsts                  23925043                       # count of insts added to the skid buffer (Count)
system.cpu.rob.reads                         70627525                       # The number of ROB reads (Count)
system.cpu.rob.writes                        74108693                       # The number of ROB writes (Count)
system.cpu.thread_0.numInsts                 36719995                       # Number of Instructions committed (Count)
system.cpu.thread_0.numOps                   36719995                       # Number of Ops committed (Count)
system.cpu.thread_0.numMemRefs                      0                       # Number of Memory References (Count)
system.cpu.workload.numSyscalls                     4                       # Number of system calls (Count)
system.l2bus.transDist::ReadResp               321048                       # Transaction distribution (Count)
system.l2bus.transDist::WritebackDirty           5479                       # Transaction distribution (Count)
system.l2bus.transDist::CleanEvict             636852                       # Transaction distribution (Count)
system.l2bus.transDist::ReadExReq                 362                       # Transaction distribution (Count)
system.l2bus.transDist::ReadExResp                362                       # Transaction distribution (Count)
system.l2bus.transDist::ReadSharedReq          321048                       # Transaction distribution (Count)
system.l2bus.pktCount_system.cpu.icache.mem_side_port::system.l2cache.cpu_side_port          911                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount_system.cpu.dcache.mem_side_port::system.l2cache.cpu_side_port       963267                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktCount::total                   964178                       # Packet count per connected requestor and responder (Count)
system.l2bus.pktSize_system.cpu.icache.mem_side_port::system.l2cache.cpu_side_port        20544                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.pktSize_system.cpu.dcache.mem_side_port::system.l2cache.cpu_side_port     20626688                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.pktSize::total                  20647232                       # Cumulative packet size per connected requestor and responder (Byte)
system.l2bus.snoops                            320973                       # Total snoops (Count)
system.l2bus.snoopTraffic                      273664                       # Total snoop traffic (Byte)
system.l2bus.snoopFanout::samples              642383                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::mean               0.000490                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::stdev              0.022139                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::underflows                0      0.00%      0.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::0                    642068     99.95%     99.95% # Request fanout histogram (Count)
system.l2bus.snoopFanout::1                       315      0.05%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::2                         0      0.00%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::overflows                 0      0.00%    100.00% # Request fanout histogram (Count)
system.l2bus.snoopFanout::min_value                 0                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::max_value                 1                       # Request fanout histogram (Count)
system.l2bus.snoopFanout::total                642383                       # Request fanout histogram (Count)
system.l2bus.power_state.pwrStateResidencyTicks::UNDEFINED  33950426000                       # Cumulative time (in ticks) in various power states (Tick)
system.l2bus.reqLayer0.occupancy            645174000                       # Layer occupancy (ticks) (Tick)
system.l2bus.reqLayer0.utilization                0.0                       # Layer utilization (Ratio)
system.l2bus.respLayer0.occupancy              963000                       # Layer occupancy (ticks) (Tick)
system.l2bus.respLayer0.utilization               0.0                       # Layer utilization (Ratio)
system.l2bus.respLayer1.occupancy           963267000                       # Layer occupancy (ticks) (Tick)
system.l2bus.respLayer1.utilization               0.0                       # Layer utilization (Ratio)
system.l2bus.snoop_filter.totRequests          642768                       # Total number of requests made to the snoop filter. (Count)
system.l2bus.snoop_filter.hitSingleRequests       321358                       # Number of requests hitting in the snoop filter with a single holder of the requested data. (Count)
system.l2bus.snoop_filter.hitMultiRequests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.l2bus.snoop_filter.totSnoops               315                       # Total number of snoops made to the snoop filter. (Count)
system.l2bus.snoop_filter.hitSingleSnoops          315                       # Number of snoops hitting in the snoop filter with a single holder of the requested data. (Count)
system.l2bus.snoop_filter.hitMultiSnoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data. (Count)
system.l2cache.demandHits::cpu.inst                60                       # number of demand (read+write) hits (Count)
system.l2cache.demandHits::cpu.data               395                       # number of demand (read+write) hits (Count)
system.l2cache.demandHits::total                  455                       # number of demand (read+write) hits (Count)
system.l2cache.overallHits::cpu.inst               60                       # number of overall hits (Count)
system.l2cache.overallHits::cpu.data              395                       # number of overall hits (Count)
system.l2cache.overallHits::total                 455                       # number of overall hits (Count)
system.l2cache.demandMisses::cpu.inst             261                       # number of demand (read+write) misses (Count)
system.l2cache.demandMisses::cpu.data          320694                       # number of demand (read+write) misses (Count)
system.l2cache.demandMisses::total             320955                       # number of demand (read+write) misses (Count)
system.l2cache.overallMisses::cpu.inst            261                       # number of overall misses (Count)
system.l2cache.overallMisses::cpu.data         320694                       # number of overall misses (Count)
system.l2cache.overallMisses::total            320955                       # number of overall misses (Count)
system.l2cache.demandMissLatency::cpu.inst     25883000                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::cpu.data  30182939000                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.demandMissLatency::total   30208822000                       # number of demand (read+write) miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.inst     25883000                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::cpu.data  30182939000                       # number of overall miss ticks (Tick)
system.l2cache.overallMissLatency::total  30208822000                       # number of overall miss ticks (Tick)
system.l2cache.demandAccesses::cpu.inst           321                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::cpu.data        321089                       # number of demand (read+write) accesses (Count)
system.l2cache.demandAccesses::total           321410                       # number of demand (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.inst          321                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::cpu.data       321089                       # number of overall (read+write) accesses (Count)
system.l2cache.overallAccesses::total          321410                       # number of overall (read+write) accesses (Count)
system.l2cache.demandMissRate::cpu.inst      0.813084                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::cpu.data      0.998770                       # miss rate for demand accesses (Ratio)
system.l2cache.demandMissRate::total         0.998584                       # miss rate for demand accesses (Ratio)
system.l2cache.overallMissRate::cpu.inst     0.813084                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::cpu.data     0.998770                       # miss rate for overall accesses (Ratio)
system.l2cache.overallMissRate::total        0.998584                       # miss rate for overall accesses (Ratio)
system.l2cache.demandAvgMissLatency::cpu.inst 99168.582375                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.demandAvgMissLatency::cpu.data 94117.566902                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.demandAvgMissLatency::total 94121.674378                       # average overall miss latency in ticks ((Tick/Count))
system.l2cache.overallAvgMissLatency::cpu.inst 99168.582375                       # average overall miss latency ((Tick/Count))
system.l2cache.overallAvgMissLatency::cpu.data 94117.566902                       # average overall miss latency ((Tick/Count))
system.l2cache.overallAvgMissLatency::total 94121.674378                       # average overall miss latency ((Tick/Count))
system.l2cache.blockedCycles::no_mshrs              0                       # number of cycles access was blocked (Cycle)
system.l2cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.l2cache.blockedCauses::no_mshrs              0                       # number of times access was blocked (Count)
system.l2cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.l2cache.avgBlocked::no_mshrs               nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2cache.avgBlocked::no_targets             nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.l2cache.writebacks::writebacks            4276                       # number of writebacks (Count)
system.l2cache.writebacks::total                 4276                       # number of writebacks (Count)
system.l2cache.demandMshrMisses::cpu.inst          261                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.demandMshrMisses::cpu.data       320694                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.demandMshrMisses::total         320955                       # number of demand (read+write) MSHR misses (Count)
system.l2cache.overallMshrMisses::cpu.inst          261                       # number of overall MSHR misses (Count)
system.l2cache.overallMshrMisses::cpu.data       320694                       # number of overall MSHR misses (Count)
system.l2cache.overallMshrMisses::total        320955                       # number of overall MSHR misses (Count)
system.l2cache.demandMshrMissLatency::cpu.inst     20663000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2cache.demandMshrMissLatency::cpu.data  23769059000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2cache.demandMshrMissLatency::total  23789722000                       # number of demand (read+write) MSHR miss ticks (Tick)
system.l2cache.overallMshrMissLatency::cpu.inst     20663000                       # number of overall MSHR miss ticks (Tick)
system.l2cache.overallMshrMissLatency::cpu.data  23769059000                       # number of overall MSHR miss ticks (Tick)
system.l2cache.overallMshrMissLatency::total  23789722000                       # number of overall MSHR miss ticks (Tick)
system.l2cache.demandMshrMissRate::cpu.inst     0.813084                       # mshr miss ratio for demand accesses (Ratio)
system.l2cache.demandMshrMissRate::cpu.data     0.998770                       # mshr miss ratio for demand accesses (Ratio)
system.l2cache.demandMshrMissRate::total     0.998584                       # mshr miss ratio for demand accesses (Ratio)
system.l2cache.overallMshrMissRate::cpu.inst     0.813084                       # mshr miss ratio for overall accesses (Ratio)
system.l2cache.overallMshrMissRate::cpu.data     0.998770                       # mshr miss ratio for overall accesses (Ratio)
system.l2cache.overallMshrMissRate::total     0.998584                       # mshr miss ratio for overall accesses (Ratio)
system.l2cache.demandAvgMshrMissLatency::cpu.inst 79168.582375                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.demandAvgMshrMissLatency::cpu.data 74117.566902                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.demandAvgMshrMissLatency::total 74121.674378                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.overallAvgMshrMissLatency::cpu.inst 79168.582375                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.overallAvgMshrMissLatency::cpu.data 74117.566902                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.overallAvgMshrMissLatency::total 74121.674378                       # average overall mshr miss latency ((Tick/Count))
system.l2cache.replacements                    320973                       # number of replacements (Count)
system.l2cache.CleanEvict.mshrMisses::writebacks          343                       # number of CleanEvict MSHR misses (Count)
system.l2cache.CleanEvict.mshrMisses::total          343                       # number of CleanEvict MSHR misses (Count)
system.l2cache.CleanEvict.mshrMissRate::writebacks          inf                       # mshr miss rate for CleanEvict accesses (Ratio)
system.l2cache.CleanEvict.mshrMissRate::total          inf                       # mshr miss rate for CleanEvict accesses (Ratio)
system.l2cache.ReadExReq.hits::cpu.data           185                       # number of ReadExReq hits (Count)
system.l2cache.ReadExReq.hits::total              185                       # number of ReadExReq hits (Count)
system.l2cache.ReadExReq.misses::cpu.data          177                       # number of ReadExReq misses (Count)
system.l2cache.ReadExReq.misses::total            177                       # number of ReadExReq misses (Count)
system.l2cache.ReadExReq.missLatency::cpu.data     13441000                       # number of ReadExReq miss ticks (Tick)
